date,region,gas_price
1993-04-05,PADD1,1.04
1993-04-12,PADD1,1.047
1993-04-19,PADD1,1.054
1993-04-26,PADD1,1.059
1993-05-03,PADD1,1.062
1993-05-10,PADD1,1.069
1993-05-17,PADD1,1.073
1993-05-24,PADD1,1.075
1993-05-31,PADD1,1.078
1993-06-07,PADD1,1.078
1993-06-14,PADD1,1.076
1993-06-21,PADD1,1.075
1993-06-28,PADD1,1.072
1993-07-05,PADD1,1.068
1993-07-12,PADD1,1.066
1993-07-19,PADD1,1.062
1993-07-26,PADD1,1.059
1993-08-02,PADD1,1.054
1993-08-09,PADD1,1.051
1993-08-16,PADD1,1.047
1993-08-23,PADD1,1.045
1993-08-30,PADD1,1.041
1993-09-06,PADD1,1.037
1993-09-13,PADD1,1.034
1993-09-20,PADD1,1.028
1993-09-27,PADD1,1.024
1993-10-04,PADD1,1.068
1993-10-11,PADD1,1.064
1993-10-18,PADD1,1.063
1993-10-25,PADD1,1.061
1993-11-01,PADD1,1.057
1993-11-08,PADD1,1.053
1993-11-15,PADD1,1.048
1993-11-22,PADD1,1.043
1993-11-29,PADD1,1.038
1993-12-06,PADD1,1.028
1993-12-13,PADD1,1.015
1993-12-20,PADD1,1.004
1993-12-27,PADD1,0.997
1994-01-03,PADD1,0.992
1994-01-10,PADD1,0.989
1994-01-17,PADD1,0.987
1994-01-24,PADD1,0.985
1994-01-31,PADD1,0.984
1994-02-07,PADD1,0.989
1994-02-14,PADD1,0.996
1994-02-21,PADD1,0.997
1994-02-28,PADD1,0.996
1994-03-07,PADD1,0.994
1994-03-14,PADD1,0.993
1994-03-21,PADD1,0.992
1994-03-28,PADD1,0.996
1994-04-04,PADD1,0.996
1994-04-11,PADD1,1.004
1994-04-18,PADD1,1.008
1994-04-25,PADD1,1.013
1994-05-02,PADD1,1.017
1994-05-09,PADD1,1.018
1994-05-16,PADD1,1.021
1994-05-23,PADD1,1.023
1994-05-30,PADD1,1.028
1994-06-06,PADD1,1.036
1994-06-13,PADD1,1.044
1994-06-20,PADD1,1.05
1994-06-27,PADD1,1.062
1994-07-04,PADD1,1.068
1994-07-11,PADD1,1.07
1994-07-18,PADD1,1.074
1994-07-25,PADD1,1.079
1994-08-01,PADD1,1.089
1994-08-08,PADD1,1.113
1994-08-15,PADD1,1.124
1994-08-22,PADD1,1.127
1994-08-29,PADD1,1.126
1994-09-05,PADD1,1.122
1994-09-12,PADD1,1.121
1994-09-19,PADD1,1.116
1994-09-26,PADD1,1.111
1994-10-03,PADD1,1.105
1994-10-10,PADD1,1.1
1994-10-17,PADD1,1.098
1994-10-24,PADD1,1.098
1994-10-31,PADD1,1.112
