year,month,airport,city,passengers
2023,1,ANC,Anchorage,163985
2023,1,BOS,Boston,1250051
2023,1,DEN,Denver,2704364
2023,1,EWR,New York,1806056
2023,1,JFK,New York,2149790
2023,1,LAX,Los Angeles,2635177
2023,1,LGA,New York,1091281
2023,1,MCO,Orlando,2267131
2023,1,MDW,Chicago,678394
2023,1,ORD,Chicago,2407760
2023,1,SEA,Seattle,1610840
2023,2,ANC,Anchorage,148749
2023,2,BOS,Boston,1270559
2023,2,DEN,Denver,2584783
2023,2,EWR,New York,1695429
2023,2,JFK,New York,1995462
2023,2,LAX,Los Angeles,2428024
2023,2,LGA,New York,1082545
2023,2,MCO,Orlando,2131610
2023,2,MDW,Chicago,667800
2023,2,ORD,Chicago,2342476
2023,2,SEA,Seattle,1544834
2023,3,ANC,Anchorage,184896
2023,3,BOS,Boston,1599824
2023,3,DEN,Denver,3156541
2023,3,EWR,New York,2073651
2023,3,JFK,New York,2492669
2023,3,LAX,Los Angeles,3008232
2023,3,LGA,New York,1390676
2023,3,MCO,Orlando,2540720
2023,3,MDW,Chicago,902842
2023,3,ORD,Chicago,2978042
2023,3,SEA,Seattle,1886085
2023,4,ANC,Anchorage,164978
2023,4,BOS,Boston,1704816
2023,4,DEN,Denver,2934214
2023,4,EWR,New York,2072083
2023,4,JFK,New York,2542542
2023,4,LAX,Los Angeles,2954252
2023,4,LGA,New York,1368527
2023,4,MCO,Orlando,2491450
2023,4,MDW,Chicago,883296
2023,4,ORD,Chicago,2835682
2023,4,SEA,Seattle,1904994
2023,5,ANC,Anchorage,219486
2023,5,BOS,Boston,1787119
2023,5,DEN,Denver,3237244
2023,5,EWR,New York,2209108
2023,5,JFK,New York,2733797
2023,5,LAX,Los Angeles,3248505
2023,5,LGA,New York,1466479
2023,5,MCO,Orlando,2476216
2023,5,MDW,Chicago,997372
2023,5,ORD,Chicago,3215249
2023,5,SEA,Seattle,2084361
2023,6,ANC,Anchorage,293859
2023,6,BOS,Boston,1846687
2023,6,DEN,Denver,3285308
2023,6,EWR,New York,2117822
2023,6,JFK,New York,2834365
2023,6,LAX,Los Angeles,3462206
2023,6,LGA,New York,1383528
2023,6,MCO,Orlando,2321440
2023,6,MDW,Chicago,1045630
2023,6,ORD,Chicago,3304909
2023,6,SEA,Seattle,2359653
2023,7,ANC,Anchorage,353127
2023,7,BOS,Boston,1861071
2023,7,DEN,Denver,3565952
2023,7,EWR,New York,2216039
2023,7,JFK,New York,2886254
2023,7,LAX,Los Angeles,3549244
2023,7,LGA,New York,1417824
2023,7,MCO,Orlando,2439141
